"sample_no","author","year","n","pj_pj","pj_si","si_si","pj_le","si_le","le_le","pjxsi_le","published","place","region","demq_group","demq","demin_group","demin","hdi","si_measure","design","period","mean_age","male_percent","minority_percent"
91,"Piccirillo",2021,669,1,NA,1,0.48,NA,1,NA,1,"Brazil",3,"2","0.59899999999999998","2",6.86,0.754,NA,"L","2 years",14.5,0.5,0.52
92,"Pina-Sánchez",2020,1354,1,NA,1,0.26,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"L","7 waves",16,NA,NA
93,"Pryce_a",2014,304,1,NA,1,0.56,NA,1,NA,0,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,40.26,0.46,NA
94,"Pryce_b",2020,163,1,NA,1,0.32,NA,1,NA,1,"Jamaica",3,"2","0.78700000000000003","2",7.13,0.709,NA,"C",NA,27.56,0.53,NA
95,"Radburn_aa",2018,103,1,0.74,1,0.7,0.62,1,NA,1,"UK",2,"1","0.89200000000000002","1",8.1,0.929,3,"E",NA,34,0.43,NA
96,"Radburn_ab",2018,142,1,0.67,1,0.38,0.56,1,NA,1,"UK",2,"1","0.89200000000000002","1",8.1,0.929,3,"E",NA,36,0.83,0.08
97,"Reisig_a",2007,432,1,NA,1,0.65,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,47.79,0.46,0.17
98,"Reisig_b",2021,1000,1,NA,1,0.25,NA,1,NA,1,"Slovenia",2,"2","0.83599999999999997","2",7.54,0.918,NA,"C",NA,39.46,0.47,NA
99,"Reisig_c",2009,289,1,NA,1,0.15,NA,1,NA,1,"Jamaica",3,"2","0.78700000000000003","2",7.13,0.709,NA,"C",NA,NA,0.59,NA
100,"Reisig_d",2014,683,1,NA,1,0.52,NA,1,NA,1,"slovenia",2,"2","0.83599999999999997","2",7.54,0.918,NA,"C",NA,18.33,0.39,NA
101,"Rengifo",2020,451,1,NA,1,0.23,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,NA,0.74,1
102,"Rodrigues",2021,724,1,NA,1,0.06,NA,1,NA,1,"Brazil",3,"2","0.59899999999999998","2",6.86,0.754,NA,"L","3 waves",13,0.5,0.53
103,"Sargeant",2022,779,1,NA,1,0.74,NA,1,NA,1,"Australia",3,"1","0.90400000000000003","1",8.9,0.951,NA,"C",NA,NA,NA,NA
104,"Saulnier",2021,278,1,0.22,1,NA,NA,1,NA,1,"Australia",3,"1","0.90400000000000003","1",8.9,0.951,2,"E",NA,33.44,0.24,0.15
105,"Silver",2020,961,1,NA,1,0.18,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"E",NA,37.04,0.5,0.16
106,"Solomon_a",2018,669,1,NA,1,0.49,NA,1,NA,0,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"E",NA,21.41,0.47,0.28
107,"Solomon_b",2021,560,1,NA,1,0.1,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"E",NA,45.38,0.5,0.24
108,"Sun",2017,929,1,NA,1,0.33,NA,1,NA,1,"China",3,"5","4.8000000000000001E-2","4",2.21,0.768,NA,"C",NA,37.44,0.47,NA
109,"Sunshine_a",2003,586,1,NA,1,0.58,0.13,1,-0.24,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,1,"C",NA,48,0.38,0.43
110,"Sunshine_b",2003,1422,1,NA,1,0.4,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,NA,0.45,0.56
111,"Tankebe_a",2009,374,1,NA,1,0.33,NA,1,NA,1,"Ghana",3,"2","0.68200000000000005","2",6.5,0.632,NA,"C",NA,31,0.61,NA
112,"Tankebe_b",2016,510,1,NA,1,0.18,NA,1,NA,1,"Pakistan",3,"3","0.375","3",4.31,0.544,NA,"C",NA,NA,0.74,NA
113,"Trinkner_aa",2014,322,1,NA,1,0.63,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,16.39,0.41,0.14
114,"Trinkner_ab",2014,259,1,NA,1,0.62,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,19.24,0.34,0.13
115,"Trinkner_b",2019,393,1,NA,1,0.27,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"E",NA,17.9,0.3,0.15
116,"Trinkner_c",2020,743,1,NA,1,0.43,NA,1,NA,1,"Brazil",3,"2","0.59899999999999998","2",6.86,0.754,NA,"C",NA,11.96,0.5,0.5
117,"Tsushima",2015,1251,1,NA,1,0.38,NA,1,NA,1,"Japan",3,"1","0.85699999999999998","1",8.15,0.925,NA,"C",NA,50.9,0.5,NA
118,"Tyler_a",2005,1653,1,NA,1,0.29,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,NA,NA,0.65
119,"Tyler_b",2014,1603,1,0.28,1,0.46,0.33,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,1,"C",NA,NA,0.48,0.28
120,"Tyler_c",2010,300,1,NA,1,0.31,0.21,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,1,"C",NA,38,0.47,NA
121,"VanDamme_a",2017,762,1,NA,1,0.49,NA,1,NA,1,"Belgium",2,"1","0.92500000000000004","2",7.51,0.937,NA,"C",NA,48.65,0.49,NA
122,"VanDamme_b",2016,1659,1,NA,1,0.46,NA,1,NA,1,"Belgium",2,"1","0.92500000000000004","2",7.51,0.937,NA,"C",NA,NA,0.26,NA
123,"Van Petegem",2020,268,1,NA,1,0.29,NA,1,NA,1,"Belgium",2,"1","0.92500000000000004","2",7.51,0.937,NA,"C",NA,15.7,0.34,NA
